c,n,repeticion,orden_efectivo
10,100,4,5
10,100,5,4
10,100,6,4
10,100,7,4
10,100,8,4
10,100,9,4
10,100,10,5
10,100,11,4
10,100,12,4
10,100,13,3
10,100,14,5
10,100,15,5
10,100,16,4
10,100,17,4
10,100,18,5
10,100,19,4
10,250,0,6
10,250,1,5
10,250,2,6
10,250,3,5
10,250,4,6
10,250,5,5
10,250,6,5
10,250,7,6
10,250,8,6
10,250,9,6
10,250,10,5
10,250,11,5
10,250,12,5
10,250,13,6
10,250,14,5
10,250,15,6
10,250,16,5
10,250,17,6
10,250,18,5
10,250,19,6
10,500,0,7
10,500,1,7
10,500,2,6
10,500,3,6
10,500,4,7
10,500,5,6
10,500,6,6
10,500,7,8
10,500,8,7
10,500,9,6
10,500,10,7
10,500,11,6
10,500,12,7
10,500,13,7
10,500,14,6
10,500,15,6
10,500,16,6
10,500,17,7
10,500,18,6
10,500,19,7
10,1000,0,7
10,1000,1,7
10,1000,2,8
10,1000,3,8
10,1000,4,8
10,1000,5,7
10,1000,6,7
10,1000,7,8
10,1000,8,8
10,1000,9,8
10,1000,10,7
10,1000,11,8
10,1000,12,7
10,1000,13,7
10,1000,14,9
10,1000,15,9
10,1000,16,7
10,1000,17,7
10,1000,18,7
10,1000,19,8
10,2500,0,8
10,2500,1,8
10,2500,2,9
10,2500,3,8
10,2500,4,9
10,2500,5,9
10,2500,6,10
10,2500,7,8
10,2500,8,9
10,2500,9,8
10,2500,10,8
10,2500,11,8
10,2500,12,10
10,2500,13,8
10,2500,14,9
10,2500,15,8
10,2500,16,9
10,2500,17,8
10,2500,18,9
10,2500,19,8
10,5000,0,9
10,5000,1,9
10,5000,2,9
10,5000,3,9
10,5000,4,9
10,5000,5,9
10,5000,6,10
10,5000,7,10
10,5000,8,9
10,5000,9,9
10,5000,10,10
10,5000,11,10
10,5000,12,9
10,5000,13,10
10,5000,14,10
10,5000,15,9
10,5000,16,11
10,5000,17,9
10,5000,18,9
